,tweet_id,tweet,complaint,category,location,date
346,1.17e+18,@abpmajhatv @Akkibhatkar @PMOIndia Ã Â¤ÅÃ Â¤Â¶Ã Â¥â¬ Ã Â¤â¢Ã Â¤Â°Ã Â¤Â£Ã Â¥â¬ Ã Â¤Â¤Ã Â¤Â¶Ã Â¥â¬ Ã Â¤Â­Ã Â¤Â°Ã Â¤Â£Ã Â¥â¬....,0,0,TR,2021-01-13
7863,1.17e+18,"Because they are also a common indian citizens, #Nature can't discriminate anyone for their celebrity status Ã°Å¸Ëâ¡Ã°Å¸â¢Â #MumbaiRains  And @renukash ma'am behaves also like one of us what I have noticed.Ã°Å¸â¢Â",0,0,MH,2021-01-13
4562,1.17e+18,@GoreMisba @CPMumbaiPolice @PMOIndia @MumbaiMirror @ANI @bandra_news @jsmurthy123 @unwomenindia 40 mins?? Itna exaggeration not done woman.,0,0,MH,2021-01-13
7379,1.17e+18,It would be so great if government prefer to repair such roads than sending chandrayaan which is not gonna save anyones life @narendramodi @nitin_gadkari @airnewsalerts @MumbaiMirror @AmeetSatam @nitin_gadkari @smritiirani @AUThackeray @SirPareshRawal @mybmc @ZeeNews @ABPNews,0,0,MH,2021-01-13
3432,1.17e+18,@TMS190 @mybmc @iamvmahadeshwar @HinaShroff @mid_day @dna @htTweets Thank you for sharing to us. We have intimated our team to attend this.,0,0,TN,2021-01-13
5077,1.17e+18,@Chandivali_Buzz @PMOIndia @PMOIndia guess u r busy in the duty with the Ganpati festivities. But don't forget to iusse a challan to this idiot who caused problems to many who were out trying to prepare for their own celebrations,0,0,WB,2021-01-13
1948,1.17e+18,Are these guys stupid? For real? What are you up to @bmc @mybmc ? No possible reason makes sense for you to be okay to cut down 2700 trees. None. #SaveAareyForest #SaveAareySaveMumbai #SaveAarey And maybe #DonateABrain for these guys.,0,0,MH,2021-01-13
1200,1.17e+18,"The BMC's official Twitter handle has become very popular among citizens to register their grievances on civic issues. Interestingly, some staff who are not Twitter-savvy, receive information on WhatsApp groups@mybmc  Story By: @ChetnaYerunkar  https://t.co/3OsDaYRxZY",0,0,DN,2021-01-13
3594,1.17e+18,@RoadsOfMumbai @MNCDFbombay @matterz @ashokepandit @mantramugdh @HoeZaay @adiljal @PMOIndia @RJGlennLive @Archanaapania @runjhunmehrotra Will registration cost go up for bew cars?,0,0,MH,2021-01-13
7103,1.17e+18,#Chandrayaan2 vs Rickshayaan 2 @isro  @RoadsOfMumbai  Ã°Å¸ËÅ https://t.co/lwHYOMFzxh,0,0,MH,2021-01-13
7985,1.17e+18,"@mybmc  The drainage Cover has brokened.  Location = Tilak Nagar Colony, Near Bld No = 54, Kushi CHS, Chembur (w) Mumbai = 400089 https://t.co/RoDgKjNujr",0,0,MH,2021-01-13
4927,1.17e+18,Major traffic on Mumbai Nashik ( on way to Mumbai) highway at Bhivandi. Please help clear the traffic @RidlrMUM @PMOIndia @traffic @ThaneCityPolice,1,2,MH,2021-01-13
1835,1.17e+18,#Announcement  #ChapelRoad #Bandra West is closed for maintenance work till end of day. Please use #HillRoad as a diversion. Thank you for your cooperation. @mybmc @mybmcWardHW @UghadeSharad  @MNCDFbombay @matterz @RoadsOfMumbai  @BandraOnline @googlemaps  @PMOIndia https://t.co/1qGKyfVDOq,0,0,MH,2021-01-13
6912,1.17e+18,@RAC7R Abe helmet bhi nahi pehna uss ne. @PMOIndia please take strict action against them.,0,0,GJ,2021-01-13
1872,1.17e+18,@SriRudyBABA @KarthikMra @itsk_mynation @mra_rjp @Nitesh_Mynation @Amit_MyNation @SumitandR @AmitSha04527257 @AuratFarebi @love_a_man @SunilKu16018450 @bammi_gaurav @Mynation_Wb @MyNation_net @no1_mra @Toughstand @Mynation_MH @wisehussein @ShadesOfKnife @,0,0,WB,2021-01-13
3322,1.17e+18,"@mybmc @mtptraffic is ths official receipt ?? Don't u have printed receipts? after towing no clue whr the car is, we found at all towing station from scruz to Andheri after 6 hrs! No 1 replied to us finaly found! They acpt only cash at bmc andheri, they t",0,0,TN,2021-01-13
1808,1.17e+18,@airindiain @PMOIndia @Dev_Fadnavis @PMOIndia @CitImmCanada https://t.co/HYPhloYpSA,0,0,TR,2021-01-13
8262,1.17e+18,This malad east west bridge on rani sati marg end has been shut from last three months. There is no repair work that is being done. Its shut only for commuters and for street vendors to run their illegal businesses. @MCGM_BMC @mybmc  Why giving us troubles ? @AUThackeray https://t.co/Y3nZbPCIsX,1,3,HP,2021-01-13
4730,1.17e+18,The following Demu Train will be cancelled/partial cancelled on 01.09. 2019 79457 Botad-Dhangdhra &amp; 79458 Dhangadhra-Botad fully cancelled &amp; 79459 Botad-Dhangadhra will be partially cancelled between Botad-Surendranagar &amp; will run between Surendranagar-Dhangadhra.  @WesternRly,0,0,AR,2021-01-13
7799,1.17e+18,"@RoadsOfMumbai @mybmc @mybmcRoads @matterz Sir, your complaint has been attended. Thank you for interacting with us. https://t.co/TXGUGEKasg",0,0,MH,2021-01-13
4306,1.17e+18,@mybmc #SaveAareyForest #SaveAarey #SaveAareySaveMumbai #AareyForest,0,0,MH,2021-01-13
2726,1.17e+18,@PMOIndia Please clear tilak bridge traffic. Its getting worse day by day.,0,0,UK,2021-01-13
8270,1.17e+18,@Jiten38070172 @mybmc Never will just Suck the money of public,0,0,RJ,2021-01-13
6338,1.17e+18,"Not all super heroes wear cap, some just rise up &amp; become the light in the darkest times. Thank you @PMOIndia. #MumbaiRain #MumbaiTraffic https://t.co/EaUTD3JiQs",0,0,MH,2021-01-13
2828,1.17e+18,@Anish90 @mybmc @mtptraffic @PMOIndia You can meet asstt commissioner D  ward shri Vishwas Mote for your grievances.,0,0,DN,2021-01-13
6014,1.17e+18,@somanij @darshanvmehta1 @CPMumbaiPolice @PMOIndia @Dev_Fadnavis @nitin_gadkari @RoadsOfMumbai @POI13 Road tax is also pending from June,0,0,MH,2021-01-13
1381,1.17e+18,@DRMBRCWR @RatlamDRM @WesternRly,0,0,AN,2021-01-13
1074,1.17e+18,@PMOIndia are  here endorsements and n he top of the taxis permitted? If yes They are awfully distracting and should be banned https://t.co/gKDuZJ0d43,1,4,UK,2021-01-13
8371,1.17e+18,@CPMumbaiPolice https://t.co/WNvuHEw5Jw,0,0,MH,2021-01-13
5510,1.17e+18,@ravirajaINC @DrKumarVishwas  @CaptainTamil @shewale_rahul @mybmc @MumbaiNCP @KapilMishra_IND @mybmcWardFN,0,0,MH,2021-01-13
3492,1.17e+18,"@mybmc @kar_ @NutanJadhav3 @CharkopWarriors @mybmcWardRC @mybmcRoads @sandhya_vipul @CMOMaharashtra @Dev_Fadnavis @narendramodi @PMOIndia @ki_azad @saimili @PotholeWarriors @AUThackeray @iGopalShetty Dear BMC, make some policy on this so that these ",0,0,CG,2021-01-13
5291,1.17e+18,"@Mr_Malde @PMOIndia There are no laws for bikers. They break  signals , go in one ways, break lines, hit cars and top of that abuse if you correct them. It's total frustration. Police don't do anything to punish them.",0,0,LD,2021-01-13
7847,1.17e+18,Shaana lalas doing their thang Ã°Å¸â¢Æ #saveaarey #aareyforest #SaveAareySaveMumbai,0,0,MH,2021-01-13
8007,1.17e+18,@IndiaToday It's Mumbai rains not Lutyens media which selectively spares the high and mighty......... https://t.co/tAdy11Zva8,0,0,MH,2021-01-13
7084,1.17e+18,"Blaming the flooding of Mithi River for WednesdayÃ¢â¬â¢s chaos, @mybmc now plans to build artificial lakes or holding ponds to ensure the river, which gets water from three lakes namely Vehar, Tulsi and Powai in the city, does not overflow.  https://t.co/cOlHbWRXhy https://t.co/DlqVhGqx8R",0,0,GA,2021-01-13
4847,1.17e+18,"@PMOIndia, can you please look into this? I have not received any response from @ThaneCityPolice. Thanks.",0,0,UK,2021-01-13
4866,1.17e+18,@RoadsOfMumbai such drive needed in .,0,0,MH,2021-01-13
8342,1.17e+18,Traffic jam due to illegal parking outside city centre mall. Bellasis road. Mumbai central east.  It's everyday..especially evening after 6.30pm. @CPMumbaiPolice @RoadsOfMumbai @PMOIndia https://t.co/DjrR1tTZxi,1,5,MH,2021-01-13
8213,1.17e+18,"@PMOIndia @mybmcWardA @traffic @CMOMaharashtra @Dev_Fadnavis  Despite heavy fines, this fort market bus stop on Mint Road remains choked with illegally parked cars. Buses are forced to halt midway on the road causing traffic jam behind. Will som",1,2,KL,2021-01-13
3217,1.17e+18,#SaveAareySaveMumbai  @narendramodi @Discovery @mybmc this is such a shameful act Ã°Å¸âÂ,0,0,MH,2021-01-13
1864,1.17e+18,"@CMOMaharashtra Our Govt could catch Scam of Chidambaram &amp; arrest him, how @CPMumbaiPolice EOW couldnt reach Bhagtani ? Isnt it surprising ? Can anyone be more smarter cheat that Chidambaram ? @PMOIndia @AmitShah @FinMinIndia",1,9,MH,2021-01-13
4441,1.17e+18,@mumnowandthen @AdityaBadami @Cool_Druid @heritage @Khaki_Tours @PiyushGoyal @britishmuseum @VictorianWeb @britishlibrary @V_and_A @railwaymuseum @RailMinIndia @mybmc @TowerOfLondon @conservation90 Why should a queen of a foreign nation still adorn,0,0,DN,2021-01-13
5353,1.17e+18,"The current condition of a Bus Stop on Marine Drive ( Sea side footpath ), exactly opposite Mumbai Police Gymkhana. Roof partially missing, leaking and rusted cross beams. Please do the needful urgently before an unfortunate accident occurs. @mybmc @myBESTBus https://t.co/S16yI8Y6xf",1,3,MH,2021-01-13
749,1.17e+18,".@mybmc please note screenshots attached. 1. Reply to reminder for a response to my complaint ( 9:21 am / 23rd Aug 19 )  2. Reply to my original complaint ( 10:31 am / 24th Aug 19 )  You are only responding to my complaints,  when will you address the problem ? #KhaddeKaAdda https://t.co/FxVe6yOhMA",0,0,AN,2021-01-13
7560,1.17e+18,Will the rulers pay the same fines as they want us slaves to pay?  Will they have their licenses cancelled too?,0,0,MH,2021-01-13
4053,1.17e+18,"@ajaychhadwa @Dev_Fadnavis @PMOIndia @RailMinIndia @Central_Railway  Is having proper ticket is crime.. There are no announcements or no hoardings or warnings written outside luggage compartment, that only luggage ticket holders can get entry into thi",0,0,GA,2021-01-13
785,1.17e+18,"@PMOIndia I'm really surprised how Mumbai Police is actively working in the city. Till you're not getting pressure from people, you're nottaking any action. @CPMumbaiPolice @DGPMaharashtra She's abusing you. You should answer on this. @CMOMaharashtra ",0,0,MH,2021-01-13
5826,1.17e+18,"We received this from a Resident of Juhu who fell into a manhole outside Fabindia/Nobel Chemist, Juhu, off 10th Road. He was walking &amp; shooting the level of water risen &amp; whole shooting slipped into the manhole. Luckily he's survived &amp; received first aid. @mybmc @mybmcwardKW https://t.co/rSa8DKyWhp",0,0,AR,2021-01-13
2701,1.17e+18,"@matterz @somitsenTOI @myBESTBus @AUThackeray @AnilKokil @ravirajaINC Absolutely...  Naam main Kya ?, Kaam karna aur karte rahana chaiye 4 Mumbaiwasiyo ke liye.",0,0,MH,2021-01-13
3917,1.17e+18,"Dear @CMOMaharashtra @Dev_Fadnavis @AmitShah @ShivSena, is it good idea to do NRC in Mumbai? BJP/ Shivsena raised illegal Bangaladeshi during election too.  You never know many of them occupying footpaths today and taking bites from our rights  @RoadsOfMumbai @ZeeNews @TOIMumbai",0,0,MH,2021-01-13
22,1.17e+18,@bluspidor @We_Would_die @ANI @PMOIndia Look at his name Ã°Å¸ËâÃ°Å¸Ëâ Respect for everyone,0,0,HP,2021-01-13
6527,1.17e+18,"House to house garbage collection is irregular in S ward Bhandup, Tembhipada area. Please give us permanent solution for garbage disposal. Otherwise allow us to throw garbage in nalla @mybmc @mybmcSWM @mybmcWardS",1,12,GJ,2021-01-13
4769,1.17e+18,@RatlamDRM @Gmwrly @WesternRly https://t.co/lccKyUL8w0,0,0,LA,2021-01-13
